1,2577.8
2,2588.1
3,2565.6
4,2592
5,2580.6
6,2566.7
7,2612.2
8,2587.9
9,2587.3
10,2604.3
11,2575.2
12,2596.5
13,2599.9
14,2637.5
15,2659.8
16,2663.7
17,2669
18,2630.4
19,2644.5
20,2609.5
21,2616.6
22,2615.8
23,2609.2
24,2612.9
25,2631.3
26,2701.3
27,2714.5
28,2755
29,2774.5
30,2739.9
31,2747.3
32,2731
33,2710.2
34,2701.9
35,2672.1
36,2674.7
37,2726.1
38,2764.9
39,2769.5
40,2797.7
41,2794.6
42,2804.1
43,2826.9
44,2818.9
45,2798.6
46,2847.1
47,2808.3
48,2791.8
49,2795.6
50,2791.8
51,2810.4
52,2821.9
53,2818.9
54,2825.1
55,2838.3
56,2801
57,2840.2
58,2859.4
59,2858.6
60,2836.8
61,2831.2
62,2813.2
63,2808.7
64,2861.2
65,2856.3
66,2847.3
67,2839.6
68,2833.7
69,2882.6
70,2917.3
71,2931.8
72,2946.1
73,2913.1
74,2889.7
75,2897.5
76,2904.3
77,2904.5
78,2916.6
79,2955.4
80,2953.6
81,3013.6
82,3027
83,3053.9
84,3051
85,3029.1
86,3039.9
87,3037.7
88,3037.9
89,3060.6
90,3075.5
91,3119.1
92,3108.8
93,3122.9
94,3136
95,3111.5
96,3098.8
97,3084.1
98,3141.8
99,3141
100,3110.1
101,3093.4
102,3106.4
103,3153.4
104,3190.5
105,3177.3
106,3209.7
107,3184.7
108,3156.9
109,3135.9
110,3130.6
111,3120.3
112,3113.8
113,3136
114,3138.2
115,3199.2
116,3226.6
117,3223.1
118,3262.4
119,3213.4
120,3187.6
121,3198.7
122,3184.3
123,3160
124,3144.3
125,3144.3
126,3167.5
127,3220.1
128,3201.5
129,3234.9
130,3209.1
131,3193.9
132,3169.4
133,3177.8
134,3206
135,3228.9
136,3221
137,3207.9
138,3193.2
139,3196.5
140,3183.3
141,3192.6
142,3228.1
143,3214.7
144,3214.1
145,3260.4
146,3295.4
147,3314.1
148,3294.3
149,3314.6
150,3276.9
151,3297.7
152,3339.1
153,3332.8
154,3355.4
155,3348.4
156,3339.1
157,3332.3
158,3388.5
159,3367
160,3384.7
161,3383.8
162,3393.6
163,3404.3
164,3394
165,3413
166,3398.9
167,3398.3
168,3374
169,3430
170,3449
171,3410.5
172,3412.4
173,3428.6
174,3429.4
175,3459.5
176,3426.9
177,3415.3
178,3461.7
179,3493.1
180,3519.4
181,3487.7
182,3548.8
183,3501
184,3445.3
185,3492.2
186,3460
